date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:51	101330/101330	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:38:50%20GMT	https://www.w3schools.com:443/html/html_images_imagemap.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_images_imagemap.html	(from https://www.w3schools.com:443/html/default.asp)
10:57:51	95407/95407	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:30:58%20GMT	https://www.w3schools.com:443/html/html_images_background.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_images_background.html	(from https://www.w3schools.com:443/html/default.asp)
10:57:52	94348/94348	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:36:42%20GMT	https://www.w3schools.com:443/html/html_images_picture.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_images_picture.html	(from https://www.w3schools.com:443/html/default.asp)
10:57:52	93221/93221	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:31:54%20GMT	https://www.w3schools.com:443/html/html_favicon.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_favicon.html	(from https://www.w3schools.com:443/html/default.asp)
10:57:53	100390/100390	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:30:22%20GMT	https://www.w3schools.com:443/html/html_tables.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_tables.html	(from https://www.w3schools.com:443/html/default.asp)
10:57:53	99053/99053	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:42:47%20GMT	https://www.w3schools.com:443/html/html_table_borders.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_table_borders.html	(from https://www.w3schools.com:443/html/default.asp)
10:57:54	96987/96987	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:33:20%20GMT	https://www.w3schools.com:443/html/html_table_sizes.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_table_sizes.html	(from https://www.w3schools.com:443/html/default.asp)
10:57:54	100215/100215	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:34:57%20GMT	https://www.w3schools.com:443/html/html_table_headers.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_table_headers.html	(from https://www.w3schools.com:443/html/default.asp)
10:57:55	93360/93360	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:33:01%20GMT	https://www.w3schools.com:443/html/html_table_padding_spacing.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_table_padding_spacing.html	(from https://www.w3schools.com:443/html/default.asp)
10:57:55	95058/95058	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:35:20%20GMT	https://www.w3schools.com:443/html/html_table_colspan_rowspan.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_table_colspan_rowspan.html	(from https://www.w3schools.com:443/html/default.asp)
10:57:56	98381/98381	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:36:01%20GMT	https://www.w3schools.com:443/html/html_table_styling.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_table_styling.html	(from https://www.w3schools.com:443/html/default.asp)
10:57:56	97333/97333	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2001:41:55%20GMT	https://www.w3schools.com:443/html/html_table_colgroup.asp	C:/My%20Web%20Sites/web2/www.w3schools.com_443/html/html_table_colgroup.html	(from https://www.w3schools.com:443/html/default.asp)
